FAMILIA;CULTIVOS;SUPERFICIE SEMBRADA (TAS);SUPERFICIE COSECHADAS (TAS);VOLUMEN OBTENIDO;UNIDAD DE MEDIDA;VALOR PRODUCCION RD$;TRIMESTRE;AÑO
OTROS;Orégano;0;2148;3554;QQ;20613200;julio-septiembre;2019
OTROS;Pimienta;0;25;59;QQ;1289000;julio-septiembre;2019
CITRICOS;Citricos;0;63;63;MILLAR;250800;julio-septiembre;2019
CEREALES;Arroz Cáscara;74382;205608;1463350;QQ;1700702957;octubre-diciembre;2019
CEREALES;Maíz;6527;8078;116588;QQ;48851605;octubre-diciembre;2019
LEGUMINOSAS;Anconi;0;0;0;N/A;0;octubre-diciembre;2019
LEGUMINOSAS;Guandul;876;2740;10030;QQ;11996634;octubre-diciembre;2019
LEGUMINOSAS;Habas;0;40;86;QQ;136200;octubre-diciembre;2019
LEGUMINOSAS;Habichuela Blanca;40;10;13;QQ;35100;octubre-diciembre;2019
LEGUMINOSAS;Habichuela Negra;10;446;187;QQ;744100;octubre-diciembre;2019
LEGUMINOSAS;Habichuela Roja;2416;651;741;QQ;2630600;octubre-diciembre;2019
MUSACEAS;Guineo Convencional;846;23615;1236000;RACIMO;208370958;octubre-diciembre;2019
MUSACEAS;Guineo Organico;580;9546;913246;RACIMO;164647305;octubre-diciembre;2019
MUSACEAS;Plátano;8329;38799;63354;MILLAR;449197861;octubre-diciembre;2019
MUSACEAS;Rulo;22;845;12377;RACIMO;1547717;octubre-diciembre;2019
RAICES Y TUBERCULOS;Batata;4784;1601;12124;QQ;12046450;octubre-diciembre;2019
RAICES Y TUBERCULOS;Mapuey;80;67;576;QQ;806400;octubre-diciembre;2019
RAICES Y TUBERCULOS;Ñame Blanco;728;3012;28217;QQ;56774050;octubre-diciembre;2019
RAICES Y TUBERCULOS;Papa;2059;1939;70316;QQ;132790600;octubre-diciembre;2019
RAICES Y TUBERCULOS;Yautía Amarilla;45;80;914;QQ;1286900;octubre-diciembre;2019
RAICES Y TUBERCULOS;Yautía Blanca;1264;1513;13874;QQ;25456700;octubre-diciembre;2019
RAICES Y TUBERCULOS;Yautía Coco;392;265;2295;QQ;5193250;octubre-diciembre;2019
RAICES Y TUBERCULOS;Yuca;9761;7972;64130;QQ;61067036;octubre-diciembre;2019
HORTALIZAS;Ají;65;135;2293;QQ;2718100;octubre-diciembre;2019
HORTALIZAS;Ají  Cubanela;750;876;2511;QQ;4299585;octubre-diciembre;2019
HORTALIZAS;Ají Gustoso;256;246;1098;QQ;2662300;octubre-diciembre;2019
HORTALIZAS;Ají Morrón;40;721;7284;QQ;9820700;octubre-diciembre;2019
HORTALIZAS;Ají Picante;253;666;3414;QQ;9422100;octubre-diciembre;2019
HORTALIZAS;Ajo;2961;26;1157;N/A;4364139;octubre-diciembre;2019
HORTALIZAS;Apio;498;380;11434;QQ;16413360;octubre-diciembre;2019
HORTALIZAS;Auyama;2946;3824;24711;QQ;23806150;octubre-diciembre;2019
HORTALIZAS;Bangaña;18;45;234;QQ;192000;octubre-diciembre;2019
HORTALIZAS;Berenjena;209;483;1169;QQ;162470;octubre-diciembre;2019
HORTALIZAS;Berro;40;40;10870;PAQUETE;163050;octubre-diciembre;2019
HORTALIZAS;Brócoli;450;510;9454;QQ;13353000;octubre-diciembre;2019
HORTALIZAS;Calabaza;0;15;22;N/A;33000;octubre-diciembre;2019
HORTALIZAS;Cebolla;4905;1794;19737;QQ;40751000;octubre-diciembre;2019
HORTALIZAS;Cilantro (Paquete);79;134;33024;PAQUETE;762200;octubre-diciembre;2019
HORTALIZAS;Cilantro (Semilla);139;127;3368;QQ;14586800;octubre-diciembre;2019
HORTALIZAS;Cilantro Ancho;54;94;31740;PAQUETE;512300;octubre-diciembre;2019
